word,coefficient,sentiment
great,7.187466965963021,positive
love,5.292963331766951,positive
excellent,5.030087191066483,positive
best,4.125762649508798,positive
good,3.610938475826633,positive
perfect,3.5251933148356436,positive
wonderful,3.0631832352292494,positive
well,2.972652089207191,positive
favorite,2.964031924921573,positive
amazing,2.9450885539101654,positive
easy,2.8983415643154338,positive
loved,2.613649806588208,positive
awesome,2.5798936557540117,positive
must,2.463299561165121,positive
highly,2.3060931266500204,positive
beautiful,2.2508415762959677,positive
enjoyed,2.093479971105615,positive
comfortable,2.084877526102191,positive
recommend,2.0715395743315845,positive
life,2.0340535981538146,positive
boring,-5.165111471577649,negative
waste,-4.714510983353802,negative
poor,-4.408235709742227,negative
worst,-4.354364517169061,negative
disappointed,-4.208750684911032,negative
bad,-3.9559935722082,negative
money,-3.646355167098581,negative
dont,-3.4771542435081804,negative
disappointing,-3.03753566002262,negative
horrible,-2.9333214144192983,negative
terrible,-2.833342753352918,negative
nothing,-2.746707314146424,negative
doesnt,-2.571584245563179,negative
disappointment,-2.460873443997431,negative
didnt,-2.3195719243546877,negative
would,-2.297771154574691,negative
return,-2.2876226269345277,negative
month,-2.2023336955323702,negative
awful,-2.137387403006533,negative
wouldnt,-2.020049862902962,negative
